"","X","ID","DataType","ORIGINAL_TraitID","ORIGINAL_TraitDefinition","TraitValue","TraitUnit","N_TraitValue","ConTaxa","ResTaxa","ConTaxaStage","ResTaxaStage","Con_ForagingMovement","Con_RESDetectionDimensionality","Res_ForagingMovement","Res_CONDetectionDimensionality","CON_MASS_value","RES_MASS_value","ResArenaSize_SI_UNIT","ResDensity_SI_VALUE","ResDensityUnit","ResDensity","ResArenaSize_SI_VALUE","ConTemp","ResTemp","ResReplaceRate","ResReplaceUnit","ResReplace","TraitSIValue","TraitSIUnit","N_TraitID","N_TraitConversion","N_CONVERTED","N_TraitUnit","Original_ErrorValue","Original_ErrorValueUnit","Replicates","ConTaxon","ConStage","ConCommon","Con_MovementDimensionality","Con_Thermy","Res_MovementDimensionality","ResTaxon","ResStage","ResCommon","Res_Thermy","Habitat","LabField","ObservationtimeSI","ObservationtimeSIUnits","ConStarvationTimeSI","ConStarvationTimeSIUnits","ConArenaSiz_VALUE","ConArenaSize_UNIT","ConDensity","ConDensityUnit","ConDensity_SI_VALUE","ConDensityConst","ConSizType","CON_ORIGINAL_value","CON_ORIGINAL_unit","Con_Siz_reference","ResSizType","RES_ORIGINAL_value","RES_ORIGINAL_unit","Res_Siz_reference","Citation","FigureTable","a0","h0","Holling_AIC","Holling_gen_AIC","Poly_2_AIC","Poly_3_AIC","Holling_BIC","Holling_gen_BIC","Poly_2_BIC","Poly_3_BIC","BestAIC","BestBIC","q0"
"1514",1513,39976,"new","Mass-Specific Volume Consumption Rate","The biovolume of resource consumed per unit mass of consumer per time",810940,"cubic micrometer (cell wet biovolume) / (gram (body mass - wet) * 1 hour)",3.338402078,"Rana catesbeiana Shaw 1802","Anabaena sphaerica","Rana catesbeiana Shaw 1802 [larva]","Anabaena sphaerica","active","sphere","passive","sphere",0.00103,1.55e-11,"cubic meter",17674820144,"cubic micrometer (wet cell biovolume) per milliliter",1228400,NA,21,21,NA,"","",NA,NA,NA,NA,NA,NA,10397000,"SE",10,"Rana catesbeiana","Tadpole stage 10-18","North American bullfrog","3D","ectotherm","3D","Anabaena sphaerica","","Alga","ectotherm","Freshwater","Laboratory",32400,"seconds",NA,"",NA,"",4,"Individuals per arena","","yes","wet mass","1.03","g","original paper","cell diameter",5.1,"micrometer","pdf","Seale D. B. and N. Beckvar. 1980. The Comparative Ability of Anuran Larvae (Genera: Hyla Bufo and Rana) to Ingest Suspended Blue-Green Algae. Copeia 1980:495-503.","Fig 1",NA,NA,NA,NA,117.876834760148,108.717684719001,NA,NA,117.660475356369,108.447235464277,NA,NA,NA
"1521",1520,39977,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",8.0288,"Individual/(Individual * 3 mins)",0.044604444,"Chalcalburnus chalcoides (Gldenstdt 1772)","Cyclops spp.","Chalcalburnus chalcoides (Gldenstdt 1772)","Cyclops spp.","active","sphere","active","sphere",0.003696181,3.37e-08,"cubic meter",2000,"individuals per Liter",2,0.02,20,20,NA,"","no",NA,NA,NA,NA,NA,NA,2.0317,"95%CI",10,"Chalcalburnus chalcoides mento (A.)","","Danube bleak","3D","ectotherm","3D","Cyclops spp.","adult","Cyclops","ectotherm","Freshwater","Laboratory",180,"seconds",86400,"seconds",20,"liter",1,"individuals per arena","","yes","length","84.5","mm","original","length",1.4,"mm","original","Winkler H. and C. Orellana. 1992. Functional responses of five cyprinid species to planktonic prey. Environmental Biology of Fishes 33:53-62.","Fig 1","1.27585573036251","0.370149844232432",-36.5770903702163,-10.0786997075874,-37.1351358880693,-37.8816141811905,-36.7393599230504,-10.2950591113661,-37.3514952918481,-38.152063435914,NA,NA,"-2.73747563594952"
"1528",1527,39978,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",20.5196,"Individual/(Individual * 3 mins)",0.113997778,"Chalcalburnus chalcoides (Gldenstdt 1772)","Daphnia hyalina Linnaeus","Chalcalburnus chalcoides (Gldenstdt 1772)","Daphnia hyalina Linnaeus","active","sphere","active","sphere",0.003696181,7.01e-08,"cubic meter",2000,"individuals per Liter",2,0.02,20,20,NA,"","no",NA,NA,NA,NA,NA,NA,3.0557,"95%CI",10,"Chalcalburnus chalcoides mento (A.)","","Danube bleak","3D","ectotherm","3D","Daphnia hyalina (L.)","adult","Daphnia","ectotherm","Freshwater","Laboratory",180,"seconds",86400,"seconds",20,"liter",1,"individuals per arena","","yes","length","84.5","mm","original","length",1.8,"mm","original","Winkler H. and C. Orellana. 1992. Functional responses of five cyprinid species to planktonic prey. Environmental Biology of Fishes 33:53-62.","Fig 1","0.989329673602142","0.569897653272832",-12.5841262687676,-13.9687388846177,-14.5963362464169,-12.6088413791945,-12.7463958216017,-14.1850982883964,-14.8126956501956,-12.879290633918,NA,NA,"-3.50796164246276"
"1535",1534,39979,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",9.7697,"Individual/(Individual * 3 mins)",0.054276111,"Chalcalburnus chalcoides (Gldenstdt 1772)","Leptodora kindtii (Focke 1844)","Chalcalburnus chalcoides (Gldenstdt 1772)","Leptodora kindtii (Focke 1844) [subadult]","active","sphere","active","sphere",0.003696181,1.48e-05,"cubic meter",2000,"individuals per Liter",2,0.02,20,20,NA,"","no",NA,NA,NA,NA,NA,NA,1.9247,"95%CI",10,"Chalcalburnus chalcoides mento (A.)","","Danube bleak","3D","ectotherm","3D","Leptodora kindti (F.)","adult","cladoceran","ectotherm","Freshwater","Laboratory",180,"seconds",86400,"seconds",20,"liter",1,"individuals per arena","","yes","length","84.5","mm","original","length",5,"mm","original","Winkler H. and C. Orellana. 1992. Functional responses of five cyprinid species to planktonic prey. Environmental Biology of Fishes 33:53-62.","Fig 1","0.93330473269233","0.630472701178536",-28.3889985766322,-1.34896293924028,-30.6909620707938,-30.0857168305244,-29.0137201689481,-2.18192506232806,-31.5239241938816,-31.1269194843841,NA,NA,"-3.02421793341637"
"1541",1540,39980,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",18.1956,"Individual/(Individual * 3 mins)",0.101086667,"Chalcalburnus chalcoides (Gldenstdt 1772)","Bythotrephes longimanus (Leydig 1860)","Chalcalburnus chalcoides (Gldenstdt 1772)","Bythotrephes longimanus (Leydig 1860) [adult]","active","sphere","active","sphere",0.003696181,3.14e-07,"cubic meter",2000,"individuals per Liter",2,0.02,20,20,NA,"","no",NA,NA,NA,NA,NA,NA,2.7141,"95%CI",10,"Chalcalburnus chalcoides mento (A.)","","Danube bleak","3D","ectotherm","3D","Bythotrephes longimanus (L.)","adult","cladoceran","ectotherm","Freshwater","Laboratory",180,"seconds",86400,"seconds",20,"liter",1,"individuals per arena","","yes","length","84.5","mm","original","length",3,"mm","original","Winkler H. and C. Orellana. 1992. Functional responses of five cyprinid species to planktonic prey. Environmental Biology of Fishes 33:53-62.","Fig 1","0.467100680102966","1.8305959236527",-10.169195856855,-12.1830503134674,-12.0392212923151,-10.5746089515532,-10.7939174491708,-13.0160124365552,-12.8721834154029,-11.6158116054129,NA,NA,"2.05979430349544"
"1547",1546,39981,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",2.4651,"Individual/(Individual * 1 day)",2.85e-05,"Castor canadensis Kuhl 1820","Populus tremuloides Michx.","Castor canadensis Kuhl 1820 [adult]","Populus tremuloides Michx. [sapling]","active","surface","sessile","surface",20,0.9,"square meter",0.006666667,"individuals per .15 ha",10,1500,38,NA,NA,"","yes",NA,NA,NA,NA,NA,NA,NA,"",NA,"Castor canadensis","Adult","North American Beaver","2D","endotherm","sessile","Populus tremuloides","sapling","Trembling aspen","ectotherm","Terrestrial","enclosure",1728000,"seconds",NA,"",1500,"square meter",2,"individuals per arena","","yes","wet mass","20","kg","http://en.wikipedia.org/wiki/North_American_Beaver","wet mass",900,"g","original","Fryxell J. M. and C. M. Doucet. 1993. DIET CHOICE AND THE FUNCTIONAL-RESPONSE OF BEAVERS. Ecology 74:1297-1306.","Fig 6","0.818601991254337","0.647888772330751",-113.279768149171,-105.809425772715,-127.031773483418,-125.756635907725,-113.904489741487,-106.642387895803,-127.864735606506,-126.797838561585,NA,NA,"-4.61585534503683"
"1553",1552,39982,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",15.302,"Individual/(Individual * 1 hr)",0.004250556,"Mediomastus fragile Rasmussen 1973","Isochrysis galbana Parke","Mediomastus fragile Rasmussen 1973 [larva]","Isochrysis galbana Parke","active","sphere","active","sphere",2.5e-09,4.96e-14,"cubic meter",2.93e+11,"microgram (Carbon) per liter",25.6513,7.03e-05,11,11,NA,"","no",NA,NA,NA,NA,NA,NA,NA,"",NA,"Mediomastus fragile (Rasmussen)","3-day-old trochophore larva","Polychaete larva","3D","ectotherm","3D","Isochrysis galbana","adult","Microalga","ectotherm","Marine","Laboratory",86400,"seconds",NA,"",70.3,"milliliter",210.9,"individuals per arena","","yes","body volume","2500000","cubic micrometer","original","cell diameter",4.56,"micrometer","original","Hansen B. 1993. ASPECTS OF FEEDING GROWTH AND STAGE DEVELOPMENT BY TROCHOPHORA LARVAE OF THE BOREAL POLYCHAETE MEDIOMASTUS-FRAGILE (RASMUSSEN) (CAPITELLIDAE). Journal of Experimental Marine Biology and Ecology 166:273-288.","Fig 6","1.28834354862697","0.475228132966341",-72.7674478016198,NA,-69.9424705281475,-68.2712606191641,-72.1757740696111,NA,-69.1535722188026,-67.285137732483,NA,NA,"4.61166260298342"
"1562",1561,39983,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.1,"Individual/(Individual * 1 day)",1.16e-06,"Canis lupus Linnaeus 1758","Rangifer tarandus (Linnaeus 1758)","Canis lupus Linnaeus 1758 [adult]","Rangifer tarandus (Linnaeus 1758) [adult]","active","surface","active","surface",36,120,"square meter",2.34e-06,"individuals per square km",2.34,3e+10,38,38,NA,"","yes",NA,NA,NA,NA,NA,NA,NA,"",NA,"Canis lupus","Adult","Gray wolf","2D","endotherm","2D","Rangifer tarandus","adult","Caribou","endotherm","Terrestrial","field",2592000,"seconds",NA,"",30000,"square kilometer",7.4,"individuals per 1000 sq km","","no","wet mass","36ﾠ","kg","http://en.wikipedia.org/wiki/Gray_wolf","wet mass",120,"kg","http://en.wikipedia.org/wiki/Reindeer","Dale B. W. L. G. Adams and R. T. Bowyer. 1994. FUNCTIONAL-RESPONSE OF WOLVES PREYING ON BARREN-GROUND CARIBOU IN A MULTIPLE-PREY ECOSYSTEM. Journal of Animal Ecology 63:644-652.","Table 1","0.285917845739246","0.488535307782118",-295.983782765839,-294.169741487348,-294.067238862082,-292.283079219852,-294.790096947444,-292.578160396154,-292.475657770889,-290.29360285586,NA,NA,"0.729546186373022"
"1573",1572,39984,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",4.6,"Individual/(Individual*1 d)",5.32e-05,"Neoseiulus barkeri Hughes 1948","Tetranychus urticae Koch 1836","Neoseiulus barkeri Hughes 1948 [adult]","Tetranychus urticae Koch 1836 [egg]","active","surface","sessile","surface",1.98e-08,1.44e-09,"square meter",5196.896101,"Individuals per arena",5,0.000962113,25,25,NA,"","no",NA,NA,NA,NA,NA,NA,0.1,"SE",26,"Neoseiulus barkeri Hughes","Adult","Phytoseiid mite","2D","ectotherm","2D","Tetranychus urticae Koch","Egg","Mite","ectotherm","Terrestrial","Laboratory",86400,"seconds",86400,"seconds",9.621127502,"square centimeter",1,"Individuals per arena","","yes","","","","","",NA,"","","Fan Y. Q. and F. L. Petitt. 1994. FUNCTIONAL-RESPONSE OF NEOSEIULUS-BARKERI HUGHES ON 2-SPOTTED SPIDER-MITE (ACARI TETRANYCHIDAE). Experimental & Applied Acarology 18:613-621.","Table 1","1.49169394023295","0.225861464194349",-104.259758807679,-100.727314670083,-104.612315947564,-111.969597709987,-104.884480399995,-101.560276793171,-105.445278070652,-113.010800363847,NA,NA,"-4.53967735171318"
"1579",1578,39985,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",5,"Individual/(Individual*1 d)",5.79e-05,"Neoseiulus barkeri Hughes 1948","Tetranychus urticae Koch 1836","Neoseiulus barkeri Hughes 1948 [adult]","Tetranychus urticae Koch 1836 [nymph]","active","surface","active","surface",1.98e-08,1.08e-08,"square meter",5196.896101,"Individuals per arena",5,0.000962113,25,25,NA,"","no",NA,NA,NA,NA,NA,NA,0,"SE",15,"Neoseiulus barkeri Hughes","Adult","Phytoseiid mite","2D","ectotherm","2D","Tetranychus urticae Koch","Newly hatched larva","Mite","ectotherm","Terrestrial","Laboratory",86400,"seconds",86400,"seconds",9.621127502,"square centimeter",1,"Individuals per arena","","yes","","","","","",NA,"","","Fan Y. Q. and F. L. Petitt. 1994. FUNCTIONAL-RESPONSE OF NEOSEIULUS-BARKERI HUGHES ON 2-SPOTTED SPIDER-MITE (ACARI TETRANYCHIDAE). Experimental & Applied Acarology 18:613-621.","Table 1","0.338698110340489","0.119540243503005",-82.1412556403723,-58.0080846486366,-82.2511144609843,NA,-83.9823725570126,-60.462907204157,-84.7059370165048,NA,NA,NA,"-4.18546388391405"
"1583",1582,39986,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.9,"Individual/(Individual*1 d)",1.04e-05,"Neoseiulus barkeri Hughes 1948","Tetranychus urticae Koch 1836","Neoseiulus barkeri Hughes 1948 [adult]","Tetranychus urticae Koch 1836 [adult]","active","surface","active","surface",1.98e-08,1.95e-08,"square meter",1039.37922,"Individuals per arena",1,0.000962113,25,25,NA,"","no",NA,NA,NA,NA,NA,NA,0.1,"SE",16,"Neoseiulus barkeri Hughes","Adult","Phytoseiid mite","2D","ectotherm","2D","Tetranychus urticae Koch","Adult","Mite","ectotherm","Terrestrial","Laboratory",86400,"seconds",86400,"seconds",9.621127502,"square centimeter",1,"Individuals per arena","","yes","","","","","",NA,"","","Fan Y. Q. and F. L. Petitt. 1994. FUNCTIONAL-RESPONSE OF NEOSEIULUS-BARKERI HUGHES ON 2-SPOTTED SPIDER-MITE (ACARI TETRANYCHIDAE). Experimental & Applied Acarology 18:613-621.","Table 1","0.183963560236614","0.628112593233904",-91.903922518243,-91.7293144442225,-90.2334098863897,NA,-93.7450394348833,-94.184136999743,-92.6882324419101,NA,NA,NA,"-1.93578140577301"
"1587",1586,39987,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",2.3417,"Individual/(Individual * 1 hr)",0.000650472,"Mercenaria mercenaria (Linnaeus 1758)","Isochrysis galbana Parke","Mercenaria mercenaria (Linnaeus 1758) [juvenile]","Isochrysis galbana Parke","active","sphere","active","sphere",8.88e-10,8.71e-14,"cubic meter",2335800200,"Individuals per ml",2335.8002,NA,15,15,NA,"","no",NA,NA,NA,NA,NA,NA,NA,"",NA,"Mercenaria mercenaria L.","6-day-old larva"," Quahog larva","3D","ectotherm","3D","Isochrysis galbana (T-ISO)","adult","Microalga","ectotherm","Marine","Laboratory",18000,"seconds",NA,"",NA,"",2,"individuals per ml","","yes","length","160","micrometer","original","",NA,"","","Gallager S. M. J. B. Waterbury and D. K. Stoecker. 1994. EFFICIENT GRAZING AND UTILIZATION OF THE MARINE CYANOBACTERIUM SYNECHOCOCCUS SP BY LARVAE OF THE BIVALVE MERCENARIA-MERCENARIA. Marine Biology 119:251-259.","Fig 2","1.34542838512597","1.76641926824324",-141.946913879931,-101.294440634998,-143.770666699011,-147.355564548511,-139.275798606243,-97.7329536034137,-140.209179667427,-142.90370575903,NA,NA,"-3.68695069570094"
"1605",1604,39988,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",5.0431,"Individual/(Individual * 1 hr)",0.001400861,"Mercenaria mercenaria (Linnaeus 1758)","Synechococcus spp.","Mercenaria mercenaria (Linnaeus 1758) [juvenile]","Synechococcus spp.","active","sphere","passive","sphere",8.88e-10,5.24e-16,"cubic meter",1455288100,"Individuals per ml",1455.2881,NA,15,15,NA,"","no",NA,NA,NA,NA,NA,NA,NA,"",NA,"Mercenaria mercenaria L.","6-day-old larva"," Quahog larva","3D","ectotherm","3D","Synechococcus sp. (WH7803)","adult","Unicellular cyanobacterium","ectotherm","Marine","Laboratory",18000,"seconds",NA,"",NA,"",2,"individuals per ml","","yes","length","160","micrometer","original","cell diameter",1,"micrometer","original","Gallager S. M. J. B. Waterbury and D. K. Stoecker. 1994. EFFICIENT GRAZING AND UTILIZATION OF THE MARINE CYANOBACTERIUM SYNECHOCOCCUS SP BY LARVAE OF THE BIVALVE MERCENARIA-MERCENARIA. Marine Biology 119:251-259.","Fig 2","0.361838099082715","0.21464825229075",-93.0637040338668,-52.2853586785256,-92.2907671887413,-91.2349995130827,-89.9301367206965,-48.1072689276319,-88.1126774378476,-86.0123873244656,NA,NA,"-3.72632384765893"
"1626",1625,39989,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.996,"Individual/(Individual*1 d)",1.15e-05,"Lyctocoris campestris (Fabricius 1794)","Plodia interpunctella (Hbner[1813])","Lyctocoris campestris (Fabricius 1794) [adult]","Plodia interpunctella (Hbner [1813]) [larva]","active","surface","active","surface",5.64e-07,1.774e-05,"square meter",109.6108423,"Individuals per arena",2,0.01824637,29,29,NA,"","no",NA,NA,NA,NA,NA,NA,0.131,"SE",6,"Lyctocoris campestris (F.)","Adult","Aspen log bug","2D","ectotherm","2D","Plodia interpunctella (Hubner)","Larva","Indianmeal moth larva","ectotherm","Terrestrial","Laboratory",86400,"seconds",172800,"seconds",182.4637013,"square centimeter",1,"Individuals per arena","","yes","","","","","wet mass",17.74,"milligram","original","Parajulee M. N. T. W. Phillips and D. B. Hogg. 1994. FUNCTIONAL-RESPONSE OF LYCTOCORIS-CAMPESTRIS (F) ADULTS - EFFECTS OF PREDATOR SEX PREY SPECIES AND EXPERIMENTAL HABITAT. Biological Control 4:80-87.","Fig 1","1.95853566036785","0.885465822122649",-161.085890217736,-162.394282344963,-163.065504495885,-161.730370218389,-160.847565592696,-162.076516178243,-162.747738329166,-161.33316250999,NA,NA,"-0.451871273107827"
"1634",1633,39990,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.4546,"Individual/(Individual*1 d)",5.26e-06,"Lyctocoris campestris (Fabricius 1794)","Oryzaephilus surinamensis (Linnaeus 1758)","Lyctocoris campestris (Fabricius 1794) [adult]","Oryzaephilus surinamensis (Linnaeus 1758) [larva]","active","surface","active","surface",5.64e-07,6e-07,"square meter",109.6108423,"Individuals per arena",2,0.01824637,29,29,NA,"","no",NA,NA,NA,NA,NA,NA,0.2137,"SE",6,"Lyctocoris campestris (F.)","Adult","Aspen log bug","2D","ectotherm","2D","Oryzaephilus surinamensis (L.)","Larva","sawtoothed grain beetle larva","ectotherm","Terrestrial","Laboratory",86400,"seconds",172800,"seconds",182.4637013,"square centimeter",1,"Individuals per arena","","yes","","","","","wet mass",0.6,"milligram","original","Parajulee M. N. T. W. Phillips and D. B. Hogg. 1994. FUNCTIONAL-RESPONSE OF LYCTOCORIS-CAMPESTRIS (F) ADULTS - EFFECTS OF PREDATOR SEX PREY SPECIES AND EXPERIMENTAL HABITAT. Biological Control 4:80-87.","Fig 1","1.10914086078728","0.5843387005474",-154.388976401752,-157.869734233317,-158.910572953419,-163.381233720944,-154.150651776712,-157.551968066598,-158.5928067867,-162.984026012545,NA,NA,"4.8240919248201"
"1642",1641,39991,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",1.6783,"Individual/(Individual*1 d)",1.94e-05,"Lyctocoris campestris (Fabricius 1794)","Tribolium castaneum (Herbst 1797)","Lyctocoris campestris (Fabricius 1794) [adult]","Tribolium castaneum (Herbst 1797) [larva]","active","surface","active","surface",5.64e-07,2.48e-06,"square meter",109.6108423,"Individuals per arena",2,0.01824637,29,29,NA,"","no",NA,NA,NA,NA,NA,NA,0.2088,"SE",6,"Lyctocoris campestris (F.)","Adult","Aspen log bug","2D","ectotherm","2D","Tribolium castaneum (Herbst)","Red flour beetle Larva","Indianmeal moth larva","ectotherm","Terrestrial","Laboratory",86400,"seconds",172800,"seconds",182.4637013,"square centimeter",1,"Individuals per arena","","yes","","","","","wet mass",2.48,"milligram","original","Parajulee M. N. T. W. Phillips and D. B. Hogg. 1994. FUNCTIONAL-RESPONSE OF LYCTOCORIS-CAMPESTRIS (F) ADULTS - EFFECTS OF PREDATOR SEX PREY SPECIES AND EXPERIMENTAL HABITAT. Biological Control 4:80-87.","Fig 1","0.850274530063051","0.000242378906367766",-179.57438282653,-177.632136499715,-173.862985265714,-174.677735178432,-179.336058201491,-177.314370332995,-173.545219098995,-174.280527470032,NA,NA,"4.86204307992011"
"1650",1649,39992,"new","Mass-Specific Mass Consumption Rate","The mass of resource consumed per unit mass of consumer per time",0.4477,"nanogram (chlorophyll a weight) / (milligram (body mass - dry) * 1 hour) ",0.513665459,"Nyctiphanes australis Sars 1883","Chaetoceros gracilis Pantocsek","Nyctiphanes australis Sars 1883 [adult]","Chaetoceros gracilis Pantocsek","active","sphere","passive","sphere",9.38e-06,1.77e-12,"cubic meter",7335652174,"microgram (chlorophyll a weight) per liter",1.776,0.06,11,11,NA,"","no",NA,NA,NA,NA,NA,NA,0.2594,"SD",10,"Nyctiphanes australis","adult","Euphausiid krill","3D","ectotherm","3D","Chaetoceros gracil","","diatom","ectotherm","Marine","Laboratory",18000,"seconds",NA,"",60,"liter",1.6,"Individuals per liter","","yes","dry mass","3.8","mg","original","",NA,"","","Pilditch C. A. and S. McClatchie. 1994. QUANTITATIVE-ANALYSIS OF CARNIVORY IN THE KRILL NYCTIPHANES-AUSTRALIS WITH AN EXAMINATION OF THE EFFECT OF NONPREFERRED PHYTOPLANKTON ALTERNATIVE PREY. Marine Ecology-Progress Series 107:41-53.","Fig 1a",NA,NA,NA,NA,15.4068680641827,15.2840076080811,NA,NA,16.1957663735276,16.2701304947622,NA,NA,NA
"1659",1658,39993,"new","Mass-Specific Consumption Rate","The number of resource consumed per unit mass of consumer per time",0.0033518,"Individuals / (milligram (body mass - dry) * 1 hour) ",3.54e-06,"Nyctiphanes australis Sars 1883","Acartia spp.","Nyctiphanes australis Sars 1883 [adult]","Acartia spp. [adult]","active","sphere","active","sphere",9.38e-06,2.32e-08,"cubic meter",500,"Individuals per liter",0.5,0.004,11,11,NA,"","no",NA,NA,NA,NA,NA,NA,0.0045449,"SD",8,"Nyctiphanes australis","adult","Euphausiid krill","3D","ectotherm","3D","Acartia sp.","","Copepod","ectotherm","Marine","Laboratory",18000,"seconds",NA,"",4,"liter",1.25,"Individuals per liter","","yes","dry mass","3.8","mg","original","",NA,"","","Pilditch C. A. and S. McClatchie. 1994. QUANTITATIVE-ANALYSIS OF CARNIVORY IN THE KRILL NYCTIPHANES-AUSTRALIS WITH AN EXAMINATION OF THE EFFECT OF NONPREFERRED PHYTOPLANKTON ALTERNATIVE PREY. Marine Ecology-Progress Series 107:41-53.","Fig 2","0.60971837179895","0.415134123569831",-112.39066542615,-132.1615018691,-118.688171913663,-127.266319452415,-113.015387018466,-132.994463992187,-119.521134036751,-128.307522106275,NA,NA,"-3.37879155296832"
"1665",1664,39994,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",1.7098,"individual / (1 individual * 1 day)",1.98e-05,"Tortanus forcipatus (Giesbrecht 1889)","Oithona davisae Ferrari & Orsi 1984","Tortanus forcipatus (Giesbrecht 1889) [juvenile]","Oithona davisae Ferrari & Orsi 1984 [juvenile]","active","sphere","active","sphere",1.4e-08,1e-09,"cubic meter",38644.2,"Individuals per liter",38.6442,5e-04,25,25,NA,"","No",NA,NA,NA,NA,NA,NA,0.6218,"SE",5,"Tortanus forcipatus + T. glacilis","Juvenile stage 1-3","Copepod","3D","ectotherm","3D","Oithona davisae","Juvenile stage 5-6","Copepod","ectotherm","Marine","Laboratory",86400,"seconds",72000,"seconds",0.5,"liter",3,"Individuals per arena","","Yes","dry mass","6.177333333","microgram","original","Length",298,"micrometer","original","Uye S. and Y. Kayano. 1994. PREDATORY FEEDING-BEHAVIOR OF TORTANUS (COPEPODA CALANOIDA) - LIFE-STAGE DIFFERENCES AND THE PREDATION IMPACT ON SMALL PLANKTONIC CRUSTACEANS. Journal of Crustacean Biology 14:473-483.","Fig 4","0.950386525518547","1.06861139399771",-157.009003961627,NA,-156.742243244224,-154.936217976957,-156.770679336588,NA,-156.424477077505,-154.539010268558,NA,NA,"4.7180962539278"
"1673",1672,39995,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",2.0052,"individual / (1 individual * 1 day)",2.32e-05,"Tortanus forcipatus (Giesbrecht 1889)","Oithona davisae Ferrari & Orsi 1984","Tortanus forcipatus (Giesbrecht 1889) [juvenile]","Oithona davisae Ferrari & Orsi 1984 [juvenile]","active","sphere","active","sphere",3.2e-08,1e-09,"cubic meter",38644.2,"Individuals per liter",38.6442,5e-04,25,25,NA,"","No",NA,NA,NA,NA,NA,NA,1.1091,"SE",5,"Tortanus forcipatus + T. glacilis","Juvenile stage 4-5","Copepod","3D","ectotherm","3D","Oithona davisae","Juvenile stage 5-6","Copepod","ectotherm","Marine","Laboratory",86400,"seconds",72000,"seconds",0.5,"liter",2,"Individuals per arena","","Yes","dry mass","14.004","microgram","original","Length",298,"micrometer","original","Uye S. and Y. Kayano. 1994. PREDATORY FEEDING-BEHAVIOR OF TORTANUS (COPEPODA CALANOIDA) - LIFE-STAGE DIFFERENCES AND THE PREDATION IMPACT ON SMALL PLANKTONIC CRUSTACEANS. Journal of Crustacean Biology 14:473-483.","Fig 4","1.28632540639551","1.0056028688444",-148.428191001179,-123.442755071046,-146.783356241077,-144.816455249721,-148.189866376139,-123.124988904326,-146.465590074357,-144.419247541322,NA,NA,"-3.5402876092121"
"1681",1680,39996,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",2.2784,"individual / (1 individual * 1 day)",2.64e-05,"Tortanus forcipatus (Giesbrecht 1889)","Oithona davisae Ferrari & Orsi 1984","Tortanus forcipatus (Giesbrecht 1889) [adult - male]","Oithona davisae Ferrari & Orsi 1984 [juvenile]","active","sphere","active","sphere",5.02e-08,1e-09,"cubic meter",38644.2,"Individuals per liter",38.6442,5e-04,25,25,NA,"","No",NA,NA,NA,NA,NA,NA,0.8699,"SE",5,"Tortanus forcipatus + T. glacilis","Adult male","Copepod","3D","ectotherm","3D","Oithona davisae","Juvenile stage 5-6","Copepod","ectotherm","Marine","Laboratory",86400,"seconds",72000,"seconds",0.5,"liter",1,"Individuals per arena","","Yes","dry mass","21.89333333","microgram","original","Length",298,"micrometer","original","Uye S. and Y. Kayano. 1994. PREDATORY FEEDING-BEHAVIOR OF TORTANUS (COPEPODA CALANOIDA) - LIFE-STAGE DIFFERENCES AND THE PREDATION IMPACT ON SMALL PLANKTONIC CRUSTACEANS. Journal of Crustacean Biology 14:473-483.","Fig 4","0.0223006493242146","1.83214369478638",-148.057295513688,-115.087502967376,-147.476750990401,-146.164138637041,-147.818970888648,-114.769736800657,-147.158984823682,-145.766930928642,NA,NA,"-4.9823475535959"
